Rank,Ticker,Minervini,Sector,Industry,Universe,Relative Strength,Percentile,RS_1W,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_speculative,Name,Commentary,Commentary_Text,Stage,label,date,low_signal,marketCap,volume,avg_volume,is_up,rs_1w_pct,rs_1m_pct,Candidate High-Win,Candidate Flip
80,AMGN,7,Healthcare,Drug Manufacturers - General,Nasdaq 100,1.002848106208407,52.121212121212125,1.0517833332622915,1.1734870580622694,66.06060606060606,31.515151515151512,14.72,344.54998779296875,0.022057756010141677,3,False,False,True,False,True,AI Scanner,"{'c': True, 'a': True, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,Amgen Inc.,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,False,209244504064.0,2194332.0,2663620.0,False,59.3939393939394,69.6969696969697,False,False
81,MOO,6,unknown,unknown,Manual Tip,0.9972321227523149,51.515151515151516,1.0311958955579628,1.155685235608894,61.212121212121204,35.15151515151515,7.65,82.1500015258789,0.012025049303161856,3,True,False,True,False,True,AlphaCharts,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': False, 'm': True}",-1,True,VanEck Agribusiness ETF,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,AlphaCharts 2-22-2026,2026-02-24,True,958496000.0,275188.0,298030.0,False,56.96969696969697,66.06060606060606,False,False
82,XLU,7,unknown,unknown,Market Pulse,0.9948160153479917,50.90909090909091,0.9826475258426278,1.0981011930861229,38.18181818181819,52.72727272727272,10.56,46.18000030517578,0.016503734275407547,5,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': False, 'i': True, 'm': True}",-1,True,State Street Utilities Select Sector SPDR ETF,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,True,7793068032.0,24130966.0,30983130.0,True,43.63636363636363,60.60606060606061,False,False
83,PEP,7,Consumer Defensive,Beverages - Non-Alcoholic,Nasdaq 100,0.989906189169653,50.303030303030305,0.9868653048325713,1.086346812551632,41.21212121212121,46.666666666666664,13.25,155.44000244140625,0.020129490473017406,3,False,False,True,False,True,AI Scanner,"{'c': True, 'a': True, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,"PepsiCo, Inc.",Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,False,232092319744.0,5284275.0,7399470.0,False,46.666666666666664,58.78787878787879,False,False
85,KO,6,Consumer Defensive,Beverages - Non-Alcoholic,Manual Tip,0.9844073114416185,49.09090909090909,0.9841494587784854,1.088709360900292,43.03030303030303,30.303030303030305,11.31,76.62999725341797,0.01688539632338581,4,False,False,True,False,True,AlphaCharts,"{'c': False, 'a': True, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,The Coca-Cola Company,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,AlphaCharts 2-22-2026,2026-02-24,False,347225882624.0,11925211.0,19948880.0,True,45.45454545454545,60.0,False,False
86,QQQE,7,unknown,unknown,Market Pulse,0.9822240064536716,48.484848484848484,0.9743127142886228,0.9873811677838199,46.666666666666664,47.878787878787875,6.85,108.83999633789062,0.012718541984883569,6,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': False, 'i': False, 'm': True}",-1,True,Direxion NASDAQ-100 Equal Weighted Index Shares,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,True,0.0,160513.0,304210.0,True,42.42424242424242,41.21212121212121,False,False
90,RSP,7,unknown,unknown,Market Pulse,0.9723417198729268,46.06060606060606,0.9838732937227493,1.0275828273470233,49.09090909090909,40.60606060606061,6.59,202.02999877929688,0.011069600324189252,7,True,False,True,True,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,Invesco S&P 500 Equal Weight ETF,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,True,31883696128.0,8810800.0,21584180.0,False,44.24242424242424,47.27272727272727,False,False
91,DIA,7,unknown,unknown,Market Pulse,0.9706585322943524,45.45454545454545,0.974087584956917,1.0015219194945906,52.121212121212125,50.90909090909091,6.81,492.2099914550781,0.012211062089103702,7,True,False,True,True,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,State Street SPDR Dow Jones Industrial Average ETF Trust,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,True,39954444288.0,3306234.0,6806970.0,False,41.81818181818181,44.24242424242424,False,False
94,XLRE,7,unknown,unknown,Market Pulse,0.9658060712358197,43.63636363636363,0.9729256994069858,0.993433936645538,27.27272727272727,28.484848484848484,8.62,43.83000183105469,0.013205241521390876,7,True,False,True,True,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,State Street Real Estate Select Sector SPDR ETF,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,True,0.0,3568639.0,5749670.0,False,41.21212121212121,42.42424242424242,False,False
97,XLC,6,unknown,unknown,Market Pulse,0.9505041232435607,41.81818181818181,0.9927340704989964,0.9724304139491603,49.696969696969695,53.333333333333336,8.02,115.54000091552734,0.013236001372834438,5,True,False,True,True,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,State Street Communication Services Select Sector SPDR ETF,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,True,0.0,4836704.0,5065420.0,False,48.484848484848484,38.78787878787879,False,False
