Rank,Ticker,Minervini,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_restricted,rs_1m_pct,Candidate High-Win,Candidate Flip
70,UCTT,8,Technology,Semiconductor Equipment & Materials,NASDAQ,2.2595846494439646,98,1.4816219336557037,20,25,51.49,59.150001525878906,0.06872359136422213,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,91,False,False
71,DBVT,8,Healthcare,Biotechnology,NASDAQ,2.2548076520043527,98,2.2497776149399735,100,100,46.29,21.459999084472656,0.07402477877319717,7,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,98,False,False
72,GOLD,8,Basic Materials,Gold,NYSE,2.2428229997747486,98,1.5698849267648913,64,17,56.08,58.81999969482422,0.08359853943137445,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,93,False,False
73,FBRX,8,Healthcare,Biotechnology,NASDAQ,2.233753983578853,98,2.7691564659518386,95,70,73.39,29.040000915527344,0.11101927945835505,6,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,99,False,False
74,COHR,8,Technology,Scientific & Technical Instruments,NYSE,2.2174333834110183,98,1.9083570040436038,94,71,66.34,248.17999267578125,0.086984687140798,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,96,False,False
75,EXK,8,Basic Materials,Silver,NYSE,2.2092837013755,98,2.323876007118354,94,94,51.38,12.890000343322754,0.07126234694032317,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,98,False,False
76,ACMR,8,Technology,Semiconductor Equipment & Materials,NASDAQ,2.206511284878518,98,1.7328324365692354,81,87,50.9,66.58999633789062,0.07550468284742841,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,95,False,False
77,SKYT,8,Technology,Semiconductors,NASDAQ,2.2062861242105662,98,2.668022456052578,90,86,34.56,28.139999389648438,0.052860709283499216,6,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,99,False,False
78,TYRA,8,Healthcare,Biotechnology,NASDAQ,2.197994725523823,98,2.194839306665786,96,34,58.16,31.579999923706055,0.08090564633782116,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,98,False,False
79,SRZN,8,Healthcare,Biotechnology,NASDAQ,2.197101061423457,98,1.5841272075611958,88,80,63.0,26.59000015258789,0.08053511330130392,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,93,False,False
