Rank,Ticker,Minervini,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_restricted,rs_1m_pct,Candidate High-Win,Candidate Flip
33,KF,8,Financial Services,Asset Management,NYSE,1.8248889065539358,96,1.548992821866315,91,81,19.6,51.939998626708984,0.029704592408588564,7,False,True,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,92,False,False
34,AMRX,8,Healthcare,Drug Manufacturersâ€”Specialty & Generic,NASDAQ,1.4181738991383916,88,1.3781079664781153,90,73,19.65,14.5,0.029044329826467728,7,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,88,False,False
35,BLFY,8,Financial Services,Banks—Regional,NASDAQ,1.5181085936735266,91,1.340114989763447,12,20,20.16,14.369999885559082,0.029133115159118414,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,87,False,False
36,CMBT,8,unknown,unknown,NYSE,1.337794048655285,85,1.062356298068697,60,6,20.44,13.979999542236328,0.031013687614485263,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,60,False,False
37,KEP,8,Utilities,Utilities—Regulated Electric,NYSE,1.6769531448116788,94,1.7860767485012952,94,92,20.48,22.450000762939453,0.03213490308059794,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,95,False,False
38,IONS,8,Healthcare,Biotechnology,NASDAQ,1.6444547785642114,93,1.6684672119399664,98,71,20.67,83.1500015258789,0.031062593292301467,7,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,94,False,False
39,VTRS,8,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,1.46077073005671,90,1.2510080920952467,42,46,20.82,15.920000076293945,0.030464815245712765,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,82,False,False
40,DOO,8,unknown,unknown,NASDAQ,1.5088388261860444,91,1.416556608382828,89,75,20.87,81.63999938964844,0.028793655314931742,7,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,89,False,False
41,ULTA,8,Consumer Cyclical,Specialty Retail,NASDAQ,1.3756655011743812,87,1.3119078995451563,79,84,20.87,682.8900146484375,0.03005294098044045,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,85,False,False
42,SAN,8,Financial Services,Banks—Diversified,NYSE,1.365860934663221,86,1.4750723292141892,90,94,20.91,12.75,0.036470584174832045,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,90,False,False
