Rank,Ticker,Minervini,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK
65,OR,8,Basic Materials,Gold,NYSE,1.4639450249260664,90,91,88,90,36.8,43.68000030517578,0.050470954666160965,7,True,False,False,False,True
66,DXPE,8,Industrials,Industrial Distribution,NASDAQ,1.4638161837649446,89,73,27,95,32.66,149.1300048828125,0.04740830519179144,7,False,False,False,False,True
67,KB,8,Financial Services,Banks—Regional,NYSE,1.4587644239703064,89,73,78,70,18.82,117.66000366210938,0.03095481162801133,7,False,False,False,False,True
68,NPKI,8,unknown,unknown,NYSE,1.4411917017702862,89,89,90,85,29.24,14.579999923706055,0.042328034887249365,7,False,False,False,False,True
69,MYE,8,Consumer Cyclical,Packaging & Containers,NYSE,1.4390793444766286,89,88,87,86,18.78,22.579999923706055,0.029355924952407696,7,False,False,False,False,True
70,BWA,8,Consumer Cyclical,Auto Parts,NYSE,1.4375700295017484,89,80,77,82,34.86,58.91999816894531,0.05121958217243298,7,False,False,False,False,True
72,ELAN,8,Healthcare,Drug Manufacturers—Specialty & Generic,NYSE,1.4326080834273427,89,91,94,87,20.94,24.979999542236328,0.03213999764695611,7,False,False,True,False,True
74,KNSA,8,Healthcare,Biotechnology,NASDAQ,1.426270807061612,88,89,94,85,26.21,47.77000045776367,0.035908673964858535,7,True,False,False,False,True
75,BAP,8,Financial Services,Banks—Regional,NYSE,1.4258487493083105,88,89,75,86,23.22,350.25,0.03621494576777111,7,False,False,False,False,True
76,STRS,8,Real Estate,Real Estate—Diversified,NASDAQ,1.4215657628378147,88,85,57,18,22.63,29.31999969482422,0.033424296380345914,7,True,False,False,False,True
77,GLDD,8,Industrials,Engineering & Construction,NASDAQ,1.4180651118708096,88,85,60,59,16.35,16.889999389648438,0.025754882089939226,7,True,False,False,False,True
78,COHU,8,Technology,Semiconductor Equipment & Materials,NASDAQ,1.4174457423467082,88,86,62,26,42.93,31.559999465942383,0.06405033432000841,7,False,False,False,False,True
79,ENS,8,Industrials,Electrical Equipment & Parts,NYSE,1.412144063524361,87,92,92,53,30.61,173.2100067138672,0.0512136310048232,6,False,False,True,False,True
80,WT,8,unknown,unknown,NYSE,1.4076661675916942,87,84,34,85,28.94,16.3799991607666,0.03982353801217271,7,False,False,False,False,True
81,TBPH,8,Healthcare,Biotechnology,NASDAQ,1.3952816247758462,87,93,95,91,31.02,19.65999984741211,0.04544397441231223,7,False,False,True,False,True
82,AMRC,8,Industrials,Engineering & Construction,NYSE,1.3894544077544737,87,89,93,91,49.63,33.72999954223633,0.06977680151225582,7,False,False,False,False,True
83,IRMD,8,Healthcare,Medical Devices,NASDAQ,1.3835545898956536,87,90,93,85,25.7,103.55999755859375,0.039176734509609214,7,False,False,True,False,True
84,HROW,8,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,1.3812926400942032,87,78,72,69,36.94,52.0,0.05244507108415876,7,False,True,False,False,True
85,IX,8,Financial Services,Credit Services,NYSE,1.3791004443762307,87,75,70,72,11.85,35.34000015258789,0.027346593556930393,7,False,False,False,False,True
86,DD,8,Basic Materials,Specialty Chemicals,NYSE,1.3743471330793098,86,83,78,35,22.79,50.40999984741211,0.03429026052878664,7,False,False,False,False,True
88,CRS,8,Industrials,Metal Fabrication,NYSE,1.3711827495516753,86,85,91,74,31.91,389.7300109863281,0.04486255903886753,7,False,False,False,False,True
89,M,8,Consumer Cyclical,Department Stores,NYSE,1.364224562051001,86,85,93,29,28.74,22.40999984741211,0.044399828862665525,6,False,False,True,False,True
90,SKM,8,Communication Services,Telecom Services,NYSE,1.3623087370656495,86,45,24,35,24.11,31.170000076293945,0.04411293336136152,7,False,False,False,False,True
91,TNK,8,Energy,Oil & Gas Midstream,NYSE,1.3323082802259938,86,75,91,59,23.32,72.87999725341797,0.03242118551457641,7,False,False,False,False,True
92,PLXS,8,Technology,Electronic Components,NASDAQ,1.3313156566124345,85,74,37,32,32.59,198.4600067138672,0.046752839357485955,7,False,False,False,False,True
93,MSBI,8,Financial Services,Banks—Regional,NASDAQ,1.3286263391981994,85,82,13,22,19.55,23.639999389648438,0.02807149832168791,7,True,False,True,False,True
94,CYTK,8,Healthcare,Biotechnology,NASDAQ,1.325606453444614,85,84,95,16,28.97,67.94000244140625,0.040108915787324353,7,False,False,True,False,True
95,VIK,8,unknown,unknown,NYSE,1.3247519208266652,85,77,81,89,26.95,78.80000305175781,0.038705558743998114,7,False,False,False,False,True
96,JBL,8,Technology,Electronic Components,NYSE,1.3230155840389455,85,79,72,89,31.31,271.0899963378906,0.04476111068913878,7,False,True,False,False,True
98,TSAT,8,unknown,unknown,NASDAQ,1.3193502780264823,85,66,92,89,55.67,30.1200008392334,0.0717605798071908,6,True,False,True,False,True
2,HYMC,7,Basic Materials,Other Precious Metals & Mining,NASDAQ,8.42624662111577,99,99,99,94,98.3,41.06999969482422,0.13478728799928263,7,False,False,False,False,True
4,BNR,7,Healthcare,Diagnostics & Research,NASDAQ,3.517800544207804,99,99,98,96,63.22,29.010000228881836,0.1123184035190568,6,True,False,False,False,True
13,LVLU,7,unknown,unknown,NASDAQ,2.376064523458834,98,99,12,0,84.38,15.239999771118164,0.12735752129635775,6,True,False,False,False,True
19,SBSW,7,Basic Materials,Gold,NYSE,2.0967766662038656,97,97,97,94,39.91,15.9399995803833,0.06954651332071003,4,True,False,True,False,True
27,KTOS,7,Industrials,Aerospace & Defense,NASDAQ,1.9091596941808182,95,96,96,98,58.46,96.08000183105469,0.0880813615878052,5,True,False,True,False,True
49,TWST,7,Healthcare,Diagnostics & Research,NASDAQ,1.5430811140694658,92,72,19,2,47.16,48.59000015258789,0.07573575413911139,6,False,False,False,False,True
58,CTGO,7,unknown,unknown,NYSE MKT,1.4909640259202697,91,95,81,83,45.35,27.81999969482422,0.06423949580177615,3,True,False,True,False,True
71,TWIN,7,Industrials,Specialty Industrial Machinery,NASDAQ,1.4334950566075813,89,91,93,87,53.37,17.040000915527344,0.08408785373975591,4,False,False,True,False,True
73,CMCL,7,Basic Materials,Gold,NYSE MKT,1.4284820882611988,88,91,96,97,43.74,30.219999313354492,0.06667769173229449,6,True,False,True,False,True
