Rank,Industry,Sector,Relative Strength,Percentile,RS_1W,1 Month Ago,3 Months Ago,6 Months Ago,rs_1w_pct,Tickers
11,Communication Equipment,Technology,1.55,66,1.54,72,54,51,69,"LITE,CIEN,VIAV,VSAT,WATT,ASTS,FEIM,VISN,GILT,UI,BKTI,TSAT,DGII,SILC,INSG,MSI,AVNW,CSCO,HPE,BDC,CLFD,EXTR,NTGR,ZBRA"
12,Electrical Equipment & Parts,Industrials,1.54,66,1.55,71,56,56,70,"AMPX,BE,VRT,POWL,AEIS,ENS,ESP,NVT,PLPC,HUBB,KE,HAYW,ATKR,AYI,ENR"
13,Other Industrial Metals & Mining,Basic Materials,1.49,65,1.57,73,51,51,71,"ALM,SKE,VALE,RIO,MTRN,MP,CMP,BHP,USGO,USAR,TECK,IPX"
14,Oil & Gas Drilling,Energy,1.48,64,1.48,69,13,16,66,"NBR,NE,PDS,SOC,HP,SDRL"
15,Oil & Gas E&P,Energy,1.46,64,1.51,37,11,7,67,"BATL,TPL,APA,CNQ,WDS,VIST,PR,OVV,TALO,PED,DVN,OXY,CRC,SD,COP,MUR,CHRD,MGY,CTRA,TBN,REPX,CNX,FANG,MTDR,PNRG,EQT,EOG,RRC,SM,BKV,AR,FTW,INR,NOG,GPOR,EXE,CRK,VTS"
16,Copper,Basic Materials,1.4,63,1.52,77,59,37,68,"HBM,SCCO,ERO,FCX,IE"
17,Real Estate - Diversified,Real Estate,1.36,61,1.37,67,46,18,65,"STRS,JOE"
18,Aerospace & Defense,Industrials,1.36,61,1.43,67,46,48,65,"PL,ISSC,SIF,RCAT,RKLB,ESLT,KRMN,LUNR,ATRO,TATT,KTOS,CODA,PKE,HII,DCO,WWD,CW,LHX,AIR,BWXT,NPK,SWBI,HWM,LMT,NOC,RTX,VVX,VSEC,HXL,MRCY,OPXS,DRS,GE,GD,TXT,RGR,BA,AVAV,EMBJ,CAE,HEI,TDG,SARO,LOAR,CDRE,AXON,EH"
19,Electronic Components,Technology,1.35,61,1.33,70,51,49,63,"VICR,TTMI,GLW,BELFA,BELFB,ALNT,FN,CLS,MPTI,PLXS,LFUS,APH,JBL,BHE,FLEX,KN,ROG,OUST,DAKT,OSIS,SANM,CTS,TEL,LYTS,OLED"
20,Oil & Gas Equipment & Services,Energy,1.34,60,1.36,65,37,24,64,"FET,LBRT,PUMP,EFXT,VAL,SEI,NCSM,FTI,KGS,WTTR,TDW,OII,AROC,NPKI,TS,XPRO,HAL,WFRD,NGS,INVX,NOV,BKR,FTK,RNGR,VTOL,LB,SLB,FLOC,AESI,GEOS,CLB,WHD,NOA"
21,Marine Shipping,Industrials,1.29,59,1.34,63,40,31,63,"HSHP,EDRY,ECO,ZIM,ESEA,SHIP,CMRE,GNK,GSL,MATX,ASC,SBLK,DAC,KEX,BWLP,CMDB,CCEC"
22,Oil & Gas Refining & Marketing,Energy,1.32,59,1.23,47,37,44,58,"PARR,PBF,DK,VLO,MPC,PSX,DINO,SGU,CVI,WKC"
23,Semiconductors,Technology,1.27,57,1.23,67,44,44,58,"LASR,MU,SKYT,TSEM,IMOS,ASX,SIMO,INTC,SMTC,MTSI,SLAB,AIP,TSM,LSCC,MPWR,SITM,DIOD,AMD,ADI,STM,MRVL,RMBS,CRDO,ALMU,CRUS,GFS,ON,NVDA,MXL,VSH,ALGM,AVGO,TXN,POWI,SYNA,ALAB,NVEC,MCHP,QRVO,AOSL,ARM,NXPI,CEVA,SWKS,QCOM,PI"
24,Oil & Gas Integrated,Energy,1.27,57,1.23,43,25,21,58,"PBR,EQNR,E,EC,IMO,SU,CVE,XOM,CVX,TTE,BP,SHEL,NFG,YPF,TGS,DEC"
25,Engineering & Construction,Industrials,1.26,56,1.29,66,50,48,62,"PHOE,FIX,AGX,STRL,MTZ,ECG,PWR,MYRG,TPC,PRIM,IESC,GLDD,DY,ESOA,EME,AMRC,GVA,CDLR,APG,ROAD,FER,ACA,WLDN,FLR,BLD,J,STN,TTEK,EXPO,BWMN,ACM,KBR"
26,Chemicals,Basic Materials,1.25,56,1.21,50,11,11,57,"GPRE,LXU,REX,DOW,MEOH,CE,OLN,ASIX,VHI,ACNT"
27,Solar,Technology,1.22,55,1.11,59,58,49,47,"NXT,SEDG,CSIQ,ENPH,JKS,RUN,FSLR"
28,Thermal Coal,Energy,1.21,54,1.25,60,48,39,60,"BTU,NC,CNR,NRP,HNRG"
29,Oil & Gas Midstream,Energy,1.21,54,1.24,45,18,22,60,"TEN,INSW,FRO,DHT,PBT,STNG,TNK,TRGP,TRMD,AM,CMBT,LPG,VG,DTM,WMB,FLNG,KMI,PAGP,TRP,EE,SOBO,LNG,GLNG,EPD,ENB,PBA,NVGS,VNOM,SBR,KNTK,OKE,SMC,HESM"
30,Consumer Electronics,Technology,1.18,52,1.26,69,65,60,61,"ZEPP,AAPL,SONO,TBCH,SONY"
31,Shell Companies,Financial Services,1.2,52,1.51,79,59,18,67,"AFJK,ESHA,OAKU"
32,Real Estate - Development,Real Estate,1.2,52,1.17,72,53,26,55,"JFB,AXR,VTMX,FOR,HHH,SDHC"
33,Luxury Goods,Consumer Cyclical,1.17,50,1.2,62,52,39,56,"ELA,TPR,MOV,SIG,CPRI"
