Rank,Ticker,Minervini,Sector,Industry,Universe,Relative Strength,Percentile,RS_1W,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_restricted,Name,Commentary,Commentary_Text,Stage,label,date,rs_1w_pct,rs_1m_pct,Candidate High-Win,Candidate Flip
170,BKD,8,Healthcare,Medical Care Facilities,NYSE,1.7768218742697357,95,2.0302973086338367,1.6499717561798788,94,75,31.01,14.899999618530273,0.05043145580427143,6,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,BKD,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,97,93,False,False
171,AMKR,8,Technology,Semiconductor Equipment & Materials,NASDAQ,1.7693241579350591,95,1.8610735288084321,1.9637300370179014,90,60,52.09,47.939998626708984,0.08293104122288754,6,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,AMKR,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,96,96,False,False
172,FLNC,6,Utilities,Utilities - Renewable,NASDAQ,1.7682162994423287,95,1.8119997249239523,2.726964914238445,98,51,90.11,16.549999237060547,0.1795123063259011,3,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,FLNC,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,95,99,False,False
173,EFXT,8,Energy,Oil & Gas Equipment & Services,NYSE,1.7673665173397186,95,1.6620697035155618,1.6199352786935137,93,87,33.04,19.450000762939453,0.04755784155331216,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,EFXT,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,94,93,False,False
174,CSTM,8,Basic Materials,Aluminum,NYSE,1.76460062058053,95,1.7178942127069718,1.6513309087519958,77,62,35.09,25.440000534057617,0.05615453610777008,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,CSTM,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,95,93,False,False
175,KEN,8,Utilities,Utilities - Independent Power Producers,NYSE,1.7641290736754596,94,1.7875222070939336,1.621650476711722,94,95,18.02,80.87000274658203,0.032693556239393406,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,KEN,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,95,93,False,False
176,LBRT,8,Energy,Oil & Gas Equipment & Services,NYSE,1.7619767083430589,94,1.6404122015101996,1.3110137697032394,83,4,42.77,26.850000381469727,0.05969406960514312,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,LBRT,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,93,84,False,False
177,AGX,8,Industrials,Engineering & Construction,NYSE,1.7601008297750456,94,1.6877666066616184,1.6423852856843966,96,96,44.17,437.6099853515625,0.061543709894040906,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,AGX,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,94,93,False,False
178,MT,8,Basic Materials,Steel,NYSE,1.7562152069173211,94,1.6719499679946868,1.5235677591813979,87,75,21.85,65.19999694824219,0.038870654058750405,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,MT,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,94,91,False,False
179,GFI,8,Basic Materials,Gold,NYSE,1.7526149812310376,94,1.749077069580196,1.8330739551884616,95,96,37.98,54.09000015258789,0.058407933586970114,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,GFI,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,95,95,False,False
180,NVRI,8,Industrials,Waste Management,NYSE,1.7507156600558336,94,1.72364118808379,1.774354045287604,97,87,13.86,19.15999984741211,0.02035490280329339,7,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,NVRI,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,95,95,False,False
181,MOD,8,Consumer Cyclical,Auto Parts,NYSE,1.7486858597481887,94,1.6131736698825354,1.1358217894722655,82,89,42.32,226.36000061035156,0.05707090628830688,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,MOD,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,93,70,False,False
182,MAMA,8,Consumer Defensive,Packaged Foods,NASDAQ,1.7407290701697482,94,1.6917336616520764,1.5360489825097652,87,36,33.73,15.890000343322754,0.046763461535378234,7,False,True,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,MAMA,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,94,91,False,False
183,NNNN,4,Healthcare,Medical Instruments & Supplies,NASDAQ,1.7401527142279514,94,1.9193312610211475,2.0902586647529224,99,100,100.0,24.700000762939453,0.18615961465072278,2,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,NNNN,Downward,"Bearish posture, trading below major MAs.",1,,,96,97,False,False
184,PTN,7,Healthcare,Biotechnology,NYSE MKT,1.739735632909253,94,1.9592964248698863,1.5388277179093013,97,18,68.72,22.459999084472656,0.07871135095463762,6,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,PTN,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,97,91,False,False
185,DAN,8,Consumer Cyclical,Auto Parts,NYSE,1.7374328928525333,94,1.6625421094445432,1.7786768509756432,90,94,26.47,34.27000045776367,0.03989326273967582,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,DAN,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,94,95,False,False
186,PPTA,8,Basic Materials,Other Precious Metals & Mining,NASDAQ,1.736439290396612,94,1.5852690909976672,1.8359887435238944,96,96,55.66,30.18000030517578,0.07637507863321381,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,PPTA,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,92,95,False,False
187,ELE,8,Basic Materials,Other Precious Metals & Mining,NASDAQ,1.7320316651049215,94,1.570179259951194,1.4315893512471132,74,94,51.83,22.059999465942383,0.07492553379484782,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,ELE,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,92,89,False,False
188,EQX,8,Basic Materials,Gold,NYSE MKT,1.7289776250499052,94,1.6283889206535611,1.871046034419071,95,84,42.33,16.809999465942383,0.06301520965914964,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,EQX,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,93,96,False,False
189,B,8,Basic Materials,Gold,NYSE,1.726345451840505,94,1.7471879717551027,1.9880319647830693,95,88,33.3,47.959999084472656,0.04926724450112378,7,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,B,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,95,97,False,False
190,MRNA,8,Healthcare,Biotechnology,NASDAQ,1.7220095219909766,94,1.3992061719448796,1.561607406182961,14,2,49.31,49.869998931884766,0.06718180980436336,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,MRNA,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,88,92,False,False
191,IDR,6,Basic Materials,Gold,NYSE MKT,1.7192687157164213,94,1.6784358626427682,2.0051423054338304,97,98,55.97,38.40999984741211,0.08232416663861011,3,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,IDR,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,94,97,False,False
192,CNL,8,Basic Materials,Gold,NYSE MKT,1.7178389226982054,94,1.703042744259571,1.686909894015463,87,99,44.24,17.420000076293945,0.07038707680428666,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,CNL,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,94,94,False,False
193,STRO,8,Healthcare,Biotechnology,NASDAQ,1.7169027788648268,94,1.6842309456745557,1.292221864235467,6,1,77.24,18.420000076293945,0.10175276670207752,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,STRO,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,94,83,False,False
194,KGC,8,Basic Materials,Gold,NYSE,1.7108234418513377,94,1.7012818244085832,2.0232053714245755,95,96,35.23,33.45000076293945,0.05447362318960525,6,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,KGC,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,94,97,False,False
195,WLDN,8,Industrials,Engineering & Construction,NASDAQ,1.7094845077660925,94,1.6452495719142486,1.977161028276663,95,99,44.91,119.0,0.06303122292618218,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,WLDN,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,93,96,False,False
196,SIMO,8,Technology,Semiconductors,NASDAQ,1.7091363500573489,94,1.8355246852278906,1.5932905460693054,83,89,46.69,134.8800048828125,0.06661105983055554,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,SIMO,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,96,92,False,False
