Rank,Ticker,Minervini,Sector,Industry,Universe,Relative Strength,Percentile,RS_1W,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_speculative,Name,Commentary,Commentary_Text,Stage,label,date,low_signal,marketCap,volume,avg_volume,is_up,rs_1w_pct,rs_1m_pct,Candidate High-Win,Candidate Flip
100,META,4,Communication Services,Internet Content & Information,Nasdaq 100,0.9418840753606799,40.0,0.9706885183813515,0.8547160049706146,27.27272727272727,50.90909090909091,17.39,674.719970703125,0.02737007607581084,4,True,False,True,False,True,memory,"{'c': True, 'a': True, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,"Meta Platforms, Inc.",Sideways,"Recovering, trading above MA50 but below MA200.",4,Test,2026-02-23,False,1639607173120.0,9144787.0,12026010.0,True,41.81818181818181,24.242424242424242,False,False
103,XLY,7,unknown,unknown,Market Pulse,0.9385129716293374,38.18181818181819,0.9539036338628297,0.9392410807817458,48.484848484848484,49.696969696969695,11.61,118.93000030517578,0.019726508783077988,6,True,False,True,True,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,State Street Consumer Discretionary Select Sector SPDR ETF,Sideways,Consolidating near Moving Averages.,2,,,True,14211500032.0,5259353.0,8888370.0,False,39.39393939393939,34.54545454545455,False,False
107,FDN,4,unknown,unknown,Market Pulse,0.9235610406240335,35.75757575757576,0.915874388769109,0.8738849014624985,29.09090909090909,51.515151515151516,12.66,265.4100036621094,0.01904869085132177,4,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': False, 'i': True, 'm': True}",-1,True,First Trust Dow Jones Internet Index Fund,Sideways,Consolidating near Moving Averages.,3,,,True,0.0,822614.0,1136820.0,True,34.54545454545455,26.060606060606062,False,False
111,XLP,6,unknown,unknown,Market Pulse,0.9168245036195164,33.33333333333333,0.9228776949193777,1.0199015196865864,41.81818181818181,21.818181818181817,9.46,82.11000061035156,0.014001260269723525,3,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,State Street Consumer Staples Select Sector SPDR ETF,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,True,17036541952.0,9131566.0,14239090.0,True,35.75757575757576,48.484848484848484,False,False
112,XHB,5,unknown,unknown,Market Pulse,0.9114269872384968,32.72727272727273,0.8904649899281475,0.9430523778231463,41.21212121212121,32.121212121212125,17.54,108.80999755859375,0.02921869757526944,4,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,State Street SPDR S&P Homebuilders ETF,Sideways,Consolidating near Moving Averages.,2,,,True,0.0,1320304.0,2390000.0,True,30.909090909090907,35.15151515151515,False,False
115,XLF,4,unknown,unknown,Market Pulse,0.9050968547625037,30.909090909090907,0.9176311970154892,0.9127192310897831,37.57575757575757,38.18181818181819,9.44,52.209999084472656,0.015179096840580554,5,True,False,True,True,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,State Street Financial Select Sector SPDR ETF,Sideways,"Recovering, trading above MA50 but below MA200.",1,,,True,45435576320.0,31580771.0,60526440.0,False,35.15151515151515,31.515151515151512,False,False
116,XLV,5,unknown,unknown,Market Pulse,0.9038884249139456,30.303030303030305,0.929337069356812,0.9828592799153826,55.757575757575765,37.57575757575757,9.54,146.3800048828125,0.014726832153623741,3,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,State Street Health Care Select Sector SPDR ETF,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,True,29172017152.0,8303296.0,8685110.0,True,36.36363636363637,43.03030303030303,False,False
118,IBUY,3,unknown,unknown,Market Pulse,0.885188226772314,29.09090909090909,0.8822282708329561,0.839847994098089,43.03030303030303,53.333333333333336,9.38,70.16459655761719,0.018586906783611568,4,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': False, 'm': True}",-1,True,Amplify Online Retail ETF,Sideways,"Recovering, trading above MA50 but below MA200.",4,,,True,512233824.0,1338.0,23580.0,False,27.878787878787882,22.424242424242426,False,False
121,ITB,4,unknown,unknown,Market Pulse,0.8757366433723907,27.27272727272727,0.8511942324434164,0.9089463934219437,36.36363636363637,29.09090909090909,17.46,99.7699966430664,0.02889502594462879,4,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,iShares U.S. Home Construction ETF,Sideways,"Recovering, trading above MA50 but below MA200.",1,,,True,0.0,1463075.0,2336670.0,False,24.242424242424242,30.909090909090907,False,False
122,STNE,4,Technology,Software - Infrastructure,Manual Tip,0.8751438800467629,26.666666666666668,0.942172366791462,0.938858700571338,65.45454545454545,90.30303030303031,32.32,15.079999923706055,0.04689276084036162,4,False,False,True,False,True,AlphaCharts,"{'c': True, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,StoneCo Ltd.,Sideways,"Recovering, trading above MA50 but below MA200.",4,AlphaCharts 2-22-2026,2026-02-24,False,4569316864.0,4759536.0,4788530.0,False,38.18181818181819,33.939393939393945,False,False
127,MSFT,3,Technology,Software - Infrastructure,Nasdaq 100,0.8558629557777063,23.636363636363637,0.8116990918362363,0.7776156052951859,25.454545454545453,56.96969696969697,16.21,432.9200134277344,0.023044514924105697,4,False,False,False,False,True,Weekly Analysis,"{'c': True, 'a': True, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,Microsoft Corporation,Sideways,"Recovering, trading above MA50 but below MA200.",4,Tech Giants Watch,2026-02-21,False,2918992052224.0,27224146.0,35807370.0,True,20.606060606060606,14.545454545454545,False,False
133,GPN,3,Industrials,Specialty Business Services,Market Pulse,0.8212480416805278,20.0,0.7898969392632016,0.8270254805657706,11.515151515151516,20.606060606060606,25.18,71.62000274658203,0.03410111639431182,3,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,Global Payments Inc.,Sideways,"Recovering, trading above MA50 but below MA200.",4,,,False,21409697792.0,1768545.0,5309850.0,True,15.151515151515152,20.0,False,False
139,IGV,3,unknown,unknown,Market Pulse,0.7899190324468902,16.363636363636363,0.7377757142623933,0.7354678039664968,16.363636363636363,50.303030303030305,21.67,88.73999786376953,0.03126307774951107,4,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,iShares Expanded Tech-Software Sector ETF,Sideways,"Recovering, trading above MA50 but below MA200.",4,,,True,1019625024.0,20777608.0,30353430.0,True,12.121212121212121,11.515151515151516,False,False
141,QCOM,3,Technology,Semiconductors,Nasdaq 100,0.7886502867334425,15.151515151515152,0.7811352727560703,0.7637354458488937,20.606060606060606,56.36363636363636,15.7,136.07000732421875,0.022593404308723336,4,True,False,True,False,True,memory,"{'c': False, 'a': True, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,QUALCOMM Incorporated,Sideways,"Recovering, trading above MA50 but below MA200.",4,Test,2026-02-23,False,152046911488.0,9064432.0,10001460.0,True,13.333333333333334,12.727272727272727,False,False
147,ETHA,3,unknown,unknown,Market Pulse,0.7525936587915334,11.515151515151516,0.7297985360148944,0.7345768074084773,18.181818181818183,81.21212121212122,20.92,18.1299991607666,0.04292806839559239,4,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,iShares Ethereum Trust ETF,Sideways,"Recovering, trading above MA50 but below MA200.",4,,,True,0.0,31472196.0,33780050.0,True,11.515151515151516,10.909090909090908,False,False
149,IBIT,2,unknown,unknown,Market Pulse,0.7171587551039824,10.303030303030303,0.6725720585149706,0.7095879259509935,6.666666666666667,57.57575757575758,17.36,44.75,0.03323384351189957,4,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': False, 'i': True, 'm': True}",-1,True,iShares Bitcoin Trust ETF,Sideways,"Recovering, trading above MA50 but below MA200.",4,,,True,0.0,50913673.0,61168450.0,True,6.666666666666667,8.484848484848486,False,False
150,CAG,1,Consumer Defensive,Packaged Foods,Manual Tip,0.7087955852459893,9.696969696969697,0.7061497143558967,0.8187136699765966,16.969696969696972,1.8181818181818181,20.96,14.529999732971191,0.029618526609628295,0,True,False,True,False,True,YourTube,"{'c': True, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,"Conagra Brands, Inc.",Downward,"Bearish posture, trading below major MAs.",4,Alphacharts 2-28-2026,2026-03-02,False,6741179392.0,10526280.0,16417730.0,False,9.696969696969697,18.787878787878785,False,False
156,SMCI,3,Technology,Computer Hardware,Manual Tip,0.6871042605021823,6.0606060606060606,0.6926761693583467,0.5829666656311019,1.8181818181818181,70.3030303030303,34.72,29.18000030517578,0.04802701192596193,3,True,False,True,False,True,Breakout Scanner,"{'c': True, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,"Super Micro Computer, Inc.",Sideways,"Recovering, trading above MA50 but below MA200.",4,High Growth Breakouts,2026-02-21,False,19401267200.0,24682680.0,25473270.0,True,9.090909090909092,3.6363636363636362,False,False
