Rank,Industry,Sector,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Relative Strength,Tickers
114,Chemicals,Basic Materials,15,16,7,17,0.9,"CE,APD,DOW,HUN,EMN,TROX,SQM"
115,REIT—Mortgage,Real Estate,14,9,3,0,0.89,"STWD,BXMT,PMT,NLY,TWO"
116,Farm Products,Consumer Defensive,14,3,4,4,0.89,"BG,ADM,CALM,TSN"
117,Utilities—Regulated Water,Utilities,14,6,15,9,0.89,"ZWS,AWK,WTRG,CWT"
118,Confectioners,Consumer Defensive,14,23,52,23,0.89,"MDLZ,HSY"
119,REIT—Healthcare Facilities,Real Estate,14,13,11,8,0.89,"WELL,OHI,CTRE,SBRA,VTR,DOC,HR,PEAK"
120,Drug Manufacturers—General,Healthcare,14,11,40,27,0.89,"LLY,HZNP,NVS,SNY,GILD,AZN,JNJ,MRK,BIIB,GSK,BMY,OGN,PFE"
121,Apparel Manufacturing,Consumer Cyclical,13,6,18,17,0.88,"RL,PVH,KTB,GIL,COLM,LEVI,GOOS,CPRI,VFC"
122,Consumer Electronics,Technology,12,26,35,8,0.87,"AAPL,SONY,IRBT,SONO"
123,REITâ€”Residential,Real Estate,12,21,19,3,0.87,"AMH,AIRC"
124,Discount Stores,Consumer Defensive,12,7,28,14,0.87,"OLLI,WMT,COST,DLTR,BJ,TGT,DG"
125,Beverages—Wineries & Distilleries,Consumer Defensive,12,7,18,2,0.87,"STZ,DEO,NAPA"
126,REIT—Residential,Real Estate,10,16,11,4,0.86,"ESS,INVH,AVB,ELS,EQR,UDR,CPT,IRT,MAA,SUI"
127,Broadcasting,Communication Services,10,19,7,10,0.86,"NWS,NWSA,FWONK,FOX,FOXA,TGNA,LSXMA,LSXMK"
128,REIT—Diversified,Real Estate,8,7,5,8,0.85,"DBRG,UE,EPRT,SRC,VICI,BNL,WPC,SAFE"
129,Tobacco,Consumer Defensive,8,11,18,12,0.85,"PM,MO,BTI"
130,Healthcare Plans,Healthcare,8,2,11,8,0.85,"CI,UNH,MOH,HUM,CVS,CNC"
131,REIT—Industrial,Real Estate,7,14,21,9,0.84,"COLD,STAG,EGP,PLD,FR,TRNO,PSA,CUBE,REXR,NSA,EXR"
132,REIT—Specialty,Real Estate,7,13,8,14,0.84,"IRM,EQIX,PCH,WY,RYN,GLPI,LAMR,HASI,SBAC,CCI,OUT"
133,Food Distribution,Consumer Defensive,5,16,19,19,0.83,"USFD,PFGC,SYY,CHEF,UNFI"
134,Utilities—Regulated Electric,Utilities,5,7,28,10,0.83,"PCG,PNW,EIX,CNP,NGG,SO,POR,ED,DTE,LNT,FE,FTS,CMS,PPL,PNM,WEC,OGE,EVRG,DUK,ETR,NEE,XEL,ES,D"
135,Utilities—Diversified,Utilities,4,6,26,9,0.82,"PEG,NWE,EXC,HE,SRE,BIP,AVA,BKH"
136,REIT—Hotel & Motel,Real Estate,4,19,13,6,0.82,"RHP,FCPT,PK,HST,PEB,XHR"
137,Solar,Technology,2,19,40,46,0.81,"FSLR,SHLS,MAXN,ARRY,CSIQ,NOVA,RUN,JKS,ENPH,SEDG"
138,Insuranceâ€”Property & Casualty,Financial Services,2,2,7,17,0.81,"ALL,AFG"
139,Agricultural Inputs,Basic Materials,1,3,4,16,0.8,"CF,CTVA,MOS,NTR,SMG,FMC"
140,Utilities—Regulated Gas,Utilities,1,5,13,16,0.8,"ATO,SWX,BIPC,OGS,NI,NJR,SR,NFE,UGI"
141,Utilities—Renewable,Utilities,0,0,15,4,0.73,"ORA,BEPC,AY,NEP,CWEN"
142,Utilitiesâ€”Regulated Electric,Utilities,0,2,22,6,0.78,"AEE,AEP,AGR"
